"adipose tissue"	"adrenal gland"	"appendix"	"bone marrow"	"breast"	"cerebral cortex"	"cervix, uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian tube"	"gallbladder"	"heart muscle"	"kidney"	"liver"	"lung"	"lymph node"	"ovary"	"pancreas"	"parathyroid gland"	"placenta"	"prostate"	"rectum"	"salivary gland"	"seminal vesicle"	"skeletal muscle"	"skin"	"small intestine"	"smooth muscle"	"spleen"	"stomach"	"testis"	"thyroid gland"	"tonsil"	"urinary bladder"
"MORF_ATRX"	2.4496912058656	10.1676164367548	0.0369272752901899	0.00869826505077809	1.37428792390181	0.100220349019041	13.0573580616728	1.18604034916157	3.74611369379411	8.34529965803164	3.32322237455305	0.633316656193231	6.34205195420037	1.82011221302249	1.63779684025506	0.264933862147673	0.0233722750411523	0.166407223275942	0.0731194355102903	3.30153854149577	0.152628266163913	13.2595344369295	0.642746196497203	2.43728054091658	1.07547386848025	2.72715407583187	5.70375157819916	0.223190316885803	2.48842158101397	1.38744843393514	5.40542243471766	0.124491368518833	1.02868529318675	0.766257229899585	4.25163696784149	0.0651125335515088	1.8566904491077
"MORF_ATOX1"	2.80269422985005	2.13636977341169	0.698439702029943	0.078356570070253	3.01855735595538	0.0784334445932802	7.00209577898754	7.22694951494394	1.94644949707612	2.3604111181811	4.20823316196002	2.3473782486615	3.97050271248925	1.40579238781442	0.863148069158407	3.0327310922121	0.252837753236838	1.39355118616655	0.271414157720876	1.77182013399718	0.351925322020863	1.56947796507247	0.6135408232604	6.62744617421673	5.16406705713173	1.31219012567613	5.73470920868508	0.323320057393186	0.546133520509371	1.85410541425456	5.61764323939884	0.234439922377247	1.6658536221439	0.0686475219773417	2.99193813849051	0.757114064041814	5.06863150640345
"MORF_BCL2"	2.7218554756275	8.64512316278693	0.241745117708672	0.00312109294706694	0.113258614311059	3.27972545191519	0.962674238690739	0.904716474310434	4.78979935868854	0.0644587267338726	0.617491937229405	0.164784241512604	1.14742766973436	1.18146702530464	2.40418851340029	7.1983891042079	0.296286149455491	0.124793072161052	0.040482483290955	0.0182149163945071	0.637989674840118	6.55043892699255	0.680343776044736	4.04988407771761e-07	0.331612010384879	1.58842441367786	0.557597311308136	0.556480168515172	2.55950417901734	5.69954153784211	0.115228922850936	0.0441139194675288	0.0964100399100195	0.437995387502962	0.309220142422846	0.00710587246780799	0.000890965071328225
"MORF_BNIP1"	1.04809725773795	2.90948670131603	0.0151737013031866	0.00482408375701661	0.0083021489157006	0.76789456652647	0.811854561088685	0.147904952346564	0.736001003651398	0.287364677811199	5.57283400252535	1.27709289561537	0.952299964573021	0.280044428145713	3.57381995250141	2.52604438494827	0.207343850707259	4.92357429249922e-05	0.0865742498831674	0.038760782513852	0.673883114082743	10.2970208065553	0.779975253720331	0.00143211254428147	0.0760242960304647	1.66068354650827	0.0497560135463373	1.30802183761441	1.94396828680289	6.25652293784703	0.045680447083001	0.011877416724278	0.228337530705991	1.00610768387823	0.164771642517618	0.115757244095027	0.0193775020132529
"MORF_BAG5"	0.836242049188883	0.96308878992559	0.826281453763208	0.323400077266965	3.01600148963865	0.101820238723923	6.66553205646325	2.94544170085964	0.983090522520062	3.3812527586198	2.29449659766466	0.86233029509826	4.52944222042135	1.49957697954968	0.585673269386658	0.857980703885168	0.160829815418136	1.72617455687048	1.1326484498575	2.46605944202054	0.378669626490541	2.10757719209726	0.662162470970604	7.09524049807974	3.20532591242031	1.28592251434043	5.31934981458325	0.388068249373414	0.705832457281016	0.790964747632051	6.11778437098375	0.63147415034437	1.3790400849796	0.282644389554554	3.22963622451797	1.93961019505731	3.47336048507155
"MORF_BCL2L11"	0.0159674443706469	1.10023123630616	1.58788852128533e-07	0.000569082615151665	0.0013317545603243	4.56295832843637	6.73873251065663e-05	0.000102453804759106	0.170288965123543	0.000947498547217545	17.9319094491211	0.220071516840251	0.0101061371722245	6.31660255595039e-05	2.35895632305349	1.13961027272676	0.87067706805095	2.34026549559711e-05	0.0199462392723102	0.704050776371871	0.5588477040372	1.11819422379318	0.0839477803949689	0.0055107566893328	0.00604808831350213	0.0738918689665282	0.000121856788518943	1.2379958851289	0.903430260544782	4.42039094631265	1.73863542015788e-06	0.00109829779615696	0.387669391617514	1.01819173873587	0.00110764783461911	4.68635501454335e-05	3.88123453243835e-06
"MORF_BECN1"	1.98958672910706	1.04638191717055	2.29632221301573	0.574742335356526	2.55378387077422	0.160051975802912	7.73192218760152	4.54875888031727	1.25907940260504	7.092994163474	1.90666562589297	0.889952759604139	5.99769729407603	5.16424742836155	0.417510683653382	0.590154750644689	0.0504875564269616	4.67386950495004	1.60301603955833	5.77832818660184	0.338259617526573	3.16406196796977	0.637255416237624	8.36478749349934	3.39180197367085	1.55733654892482	7.49783687691645	0.17366010273627	0.960956093529152	1.73085027214243	5.40925540037968	1.51215521366809	2.75363677052557	0.512881170094135	2.70823986334583	1.6384752109249	7.21771059723936
"MORF_BRCA1"	0.637836646020609	0.356423110734939	0.0964439205608732	0.0128226167577163	0.160846018664671	1.31276561593754	0.358573469150412	0.107415497051683	0.0654787177175765	1.40356545076415	16.4121969989298	0.825240694234433	1.18760290743144	0.067210590547604	1.55818171739297	0.199231091178917	0.0870851646894913	0.00487048817084168	0.361468953621314	0.505756416431434	1.15795052586686	16.5004765315172	0.468376864901276	0.944958878790873	0.301860783074509	0.368229308811649	0.396174556340096	0.205676778910635	3.02794291850664	1.19115520388915	2.19296544496829	0.0241085929017407	0.123590003180855	2.60373020318472	0.49540715940532	0.507258492503327	1.59501942199381
"MORF_BUB1"	0.0638926128887936	0.309880693252567	7.29469171282377	3.3106442073551	0.919269318133268	0.0520796851267726	0.495862590490374	6.29447218576102	2.56180455231671	0.698607277028795	0.312763610556855	1.48352483457221	0.218296056286966	0.0382817749985268	0.436672951659545	0.399784410824662	0.110971550778538	0.0462230205647168	15.1509927082813	0.0835184205486507	0.327986404946854	1.32890914842934	0.7597562611957	0.173766404493831	13.7600699774196	0.383776938713383	0.649055210858512	0.336737005973627	3.37595235082534	1.86636494788975	2.98881700370778	0.155331555070624	1.28069584825903	5.18223054894216	0.660505993647496	28.2014811926871	1.40163577829363
"MORF_BUB3"	1.46430819174623	1.71747064245167	7.17186598806533	0.682420071814869	5.6365924630334	0.00110685193400199	10.5042879805458	21.6719371500147	4.35038153948984	9.866334607358	2.09037511318477	1.42276479223555	8.88540431725923	0.90512764077354	1.33318161719394	1.26162518428214	0.00788359984039244	0.86920670056976	9.50551620079399	8.05656453391564	0.172856346228781	3.88781060905767	0.50008948772827	13.895446785798	21.313493973114	1.36411202231303	13.2649130155033	0.409971272942206	1.62999286796949	3.04279574926651	15.4608161765328	0.516408923426467	3.36730666548753	0.559618671350632	4.36273199098464	19.6397653596048	8.73774686015086
