"adipose tissue"	"adrenal gland"	"appendix"	"bone marrow"	"breast"	"cerebral cortex"	"cervix, uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian tube"	"gallbladder"	"heart muscle"	"kidney"	"liver"	"lung"	"lymph node"	"ovary"	"pancreas"	"parathyroid gland"	"placenta"	"prostate"	"rectum"	"salivary gland"	"seminal vesicle"	"skeletal muscle"	"skin"	"small intestine"	"smooth muscle"	"spleen"	"stomach"	"testis"	"thyroid gland"	"tonsil"	"urinary bladder"
"GLI1_UP.V1_DN"	0.576426864116181	0.526970203595635	1.2472928001217	0.58192496600183	1.48485647544591	0.191680191733281	3.04825652821548	1.23494396531874	0.818868131652559	1.31465012373882	0.56006508408061	0.476280985039216	1.65688375527219	1.70261741070853	0.418223769408994	0.642614243593317	5.86625541989466	2.67688826210204	0.520686709340103	0.826745778488845	0.47958729469729	0.789132298441051	0.891508970723527	0.7722272626031	1.37571153277452	0.857451577325195	2.26005795882205	0.276763068240862	0.571926488357582	0.862644768238519	2.77895067638811	1.30540457973882	0.847148877440949	0.92057474373753	1.63883824222117	0.698795755674009	12.0145557500805
"GLI1_UP.V1_UP"	1.96597866577875	1.26389809720327	1.26075801706199	0.294586481077462	1.64143074886612	0.246475297630137	1.40408815648443	2.93623274122835	1.07280035917527	2.87179070618927	1.24070841513815	1.44965959382793	1.21078880903948	1.42462057195434	1.51385133823274	1.85248444439819	0.328334503434181	3.186058252149	0.945378104107066	2.31837433677971	0.749840337541303	0.564789877597848	1.04591526898517	1.75597144976599	1.789523926257	0.617638892233879	1.00971627882771	1.05244716109898	0.511784686074621	1.02749830380654	1.02475984621782	0.877323032654804	1.69992751202451	0.213538137521805	2.51454977625589	0.844448048124251	2.08327236910901
"E2F1_UP.V1_DN"	16.4682742284702	1.78478244019258	2.1185058599025	0.925867615110043	0.851195337494678	0.00607935739793688	10.9789229278597	1.61478190561557	0.554366748787218	2.14084281752947	0.153963818606174	3.842497054486	0.500072243566211	33.8432137128259	0.172675648531841	0.524998043770126	1.18215517725767	1.65291978812581	0.363292607142432	0.879044740867687	0.850734938607527	0.813533673424083	2.22599882707223	0.833933596027348	0.909818620383314	0.661582828883149	2.01116455752216	0.129219645482733	1.0358323341919	0.924379341368116	1.94160374637843	0.510787101000468	0.999810889886081	0.00131541636380003	1.80942186317588	0.438122512947134	7.37409086919102
"E2F1_UP.V1_UP"	0.522480959117801	1.51147732052792	10.0364324615301	5.31390745899203	0.844737683720088	0.123587633674291	0.992692978700948	2.83309979633258	5.46126169439299	3.05507233785573	0.205617186361722	0.975288589444209	3.00523231559212	0.593092922478333	0.598150672881265	0.148561010415743	0.0779106285968033	0.503079017226676	16.2409691580288	1.26233835080916	0.241182923372798	3.21731980740373	0.801484575248231	0.560050338939464	3.74187034278597	0.750019056837464	1.27338031400148	1.83815503875519	0.374051529165611	1.37971566480242	2.21068609930185	1.21295017016755	0.97828374046331	1.97590686747116	0.905011065415455	15.3148582785923	12.6706098368838
"EGFR_UP.V1_DN"	1.02117164793211	0.469925346074018	0.491051382123705	1.15082074001861	28.8666227883457	0.080552519852458	4.57758298318252	4.03344841788772	1.46185699750993	2.91919585837826	1.14712569318666	1.92908046640228	2.97783977011122	1.46675339124434	0.401583429972452	1.55415803668997	0.0974937770351232	1.28590595698327	1.92574067281329	5.10749001453045	1.40471667002578	1.9659067307087	1.30913073979555	15.3373600163374	2.8696031779253	2.57724380251703	1.32225191419178	0.213899356773632	0.362320199504304	0.825338707947132	1.23853102602058	1.11243840865883	1.66609851122127	0.194106518710496	5.39466055011668	0.747329721059543	1.25408010479336
"EGFR_UP.V1_UP"	5.10631549429323	0.972482154143449	12.3737157494646	0.623194500010549	0.506256793521857	0.0332893288491697	1.33262993553797	3.4918791837655	0.661180863880715	11.0342015243818	0.0596331435765818	1.98444177202754	0.0543209498846371	16.5309407749161	0.138675555088016	0.400043331308298	0.410927441552812	9.90226558248647	0.138093527917221	0.0375679408401177	0.235855766880868	0.652327737393253	6.26368440384105	0.458557362430203	4.42924417334827	0.420765763802222	0.265358055446585	0.405639739797794	0.328359749513755	1.05024077123312	4.17979810032331	0.207738126008984	2.13982439744089	0.000495812656214035	6.88020770981822	0.530382819962034	16.4139132628657
"ERB2_UP.V1_DN"	2.48408242201691	1.27293799585043	4.72255693132901	0.84260474457936	9.59957969796994	0.0254950875768361	3.39019915424675	3.93104430109879	0.265861143078146	6.33351402005083	0.647222440609051	0.771543372844638	1.2595334668226	6.98137054941681	0.334552128234211	0.805633155965013	0.0597787089745064	2.18969673462335	2.67478402950191	4.92676506026821	1.39631970970717	3.10035735434059	4.04928433164881	8.75247525931451	5.33525373445498	1.94882482044873	2.02222901602265	0.0663415562926048	0.137835533216445	0.238070527579802	2.41989304637365	0.963613248211891	0.839493109927267	0.508317487217872	8.47130855997072	3.52599464990028	5.15749072270672
"ERB2_UP.V1_UP"	2.53831139294375	0.428006577830412	0.482623777190704	0.264929675120287	4.70413071236544	1.09236508984733	1.47484623754757	5.61282869144628	0.632203338527861	0.978889384554758	1.03045290928434	1.80395613180381	0.723472856227239	3.31269355380814	0.581770034724014	1.30890236154316	0.462123093567726	8.30556342713374	0.00447277204343926	0.0218545734854327	0.400329519777576	0.266032654563415	1.24792349308471	2.19306453496578	4.46238652024525	1.55319418794762	3.83546572010035	1.03711947876107	0.074927696948697	0.944321235228779	0.801422861554307	0.0157509141295128	4.12056307203238	0.000408491892836556	1.74111122515119	0.0870247731770776	61.1413196543228
"GCNP_SHH_UP_EARLY.V1_DN"	2.06742237142993	0.481296322436166	5.35551669047714	1.08920035310527	0.663628722957065	0.575983987368784	0.316346842335873	0.67624007244834	0.300736876170423	1.79616258964471	2.69512718164148	1.16782875032905	0.349673859757184	1.96984093625405	2.26570060084053	3.73332171503599	1.01650907245902	7.06392497938244	2.70353151459558	2.38455885636778	0.706485683577105	1.61465788527502	0.69748267596857	1.46845853656594	0.691205927109235	0.45463935597112	1.42118100770209	0.585116606683792	0.353168365582333	0.650685208130967	2.1690542350005	1.75670336717881	2.21875931033426	0.0874078916374246	3.43865680826968	1.18091696154719	4.10203172892169
"GCNP_SHH_UP_EARLY.V1_UP"	1.78822222915974	0.607205711833987	4.07097424016961	2.30771592752397	2.11796796118225	0.222214244989945	0.648656002654005	1.30051168224568	1.02199914675799	7.42736749602961	0.277809626744212	0.388089621901663	1.72238647915563	0.222061109369746	0.246765972230009	0.167040694022359	0.739106601373797	0.295323778910696	10.2216799243342	1.49896408892436	0.624804517543806	2.33791366292539	0.653125048808016	0.950010104043041	2.52599121563145	1.14585158565339	1.65493539426054	0.526836094638361	0.711938029747343	0.578403533139432	1.77849695106489	0.980994785732209	0.406996549116435	0.571609907229029	2.27497772000005	10.1832423090438	1.84810310115461
