"adipose tissue"	"adrenal gland"	"appendix"	"bone marrow"	"breast"	"cerebral cortex"	"cervix, uterine"	"colon"	"duodenum"	"endometrium"	"epididymis"	"esophagus"	"fallopian tube"	"gallbladder"	"heart muscle"	"kidney"	"liver"	"lung"	"lymph node"	"ovary"	"pancreas"	"parathyroid gland"	"placenta"	"prostate"	"rectum"	"salivary gland"	"seminal vesicle"	"skeletal muscle"	"skin"	"small intestine"	"smooth muscle"	"spleen"	"stomach"	"testis"	"thyroid gland"	"tonsil"	"urinary bladder"
"chr5q23"	3.93933558144219	0.77634094693683	0.451949070248334	0.162226497546803	0.764702362343411	0.0928371796886295	2.6634656951898	0.809106552991081	0.734042341542181	1.45560610519138	0.217478344826674	0.271057542246164	3.04828960139487	1.53375705554592	0.554146488790828	4.63938108446319	0.352703936193493	6.58245342213288	0.208948898843705	1.10722293427178	0.33165494794393	1.97454167666385	6.02316248460754	0.252664235365333	1.33171093148763	0.364138665856319	0.100509703148425	0.21866957598727	0.116501152355653	7.95664850449638	0.812473642698353	0.424505098778527	0.392667526932569	1.44496978025434	0.769375167861913	0.300134744960346	0.910378117948946
"chr16q24"	0.34008934325495	2.38690171924552	3.50294618125618	1.24233926614419	0.140719726814564	0.469756133877572	0.652610362781551	1.06345955779089	2.35229712840271	0.190216013681347	0.292066814238873	0.326222326299435	1.95822228319593	2.47223050031074	0.245798487160145	0.161385930725174	0.767428978737418	3.1959696464557	3.4668984907901	0.550565195040289	0.890617180464023	0.297870654140478	0.41644239379473	0.340100485285994	0.400654067899683	0.437292327124946	0.61330927756738	1.99210847528511	0.700225113684535	2.85355689927033	0.996402127361818	2.56572877104972	1.14270035256975	0.401179426222046	0.140951226225019	0.970920419337829	1.57872252354528
"chr8q24"	3.73511260106468	14.5037875500957	2.73547289539298	0.4804973620553	0.81243579023603	1.30463436626481	0.985015983147818	3.58098806100524	7.20191749661212	1.8061669771975	0.233382396990594	12.0079601825062	2.13911626375116	1.68355697327338	0.563777669361346	0.44195703080697	0.102127432493019	0.659318718800557	0.539135510417693	2.01487915996759	1.05279976758624	1.77359351501514	0.440013862421684	2.02126803359152	2.25409789983846	1.45537537266288	2.47582710840069	1.66081645773785	4.78602121605053	4.70983084231862	5.99768048357715	0.40294048084482	5.14603504060983	0.368415955523899	8.07603505464835	0.587109163301963	1.14455666041643
"chr13q11"	0.290145913788363	0.841606490676201	0.224488832452304	0.482963333538061	0.398981864900248	0.554279842167711	1.17078825703912	0.491087596506751	0.638897498640763	0.770223007273238	0.369400055093557	11.7035480631858	0.272499797445008	0.62414488676619	0.602555260931661	3.9261234059573	0.454129481236272	0.465830161530678	0.310015509494923	0.604498845075449	0.494949074398516	0.627216796466585	0.677220246502202	0.531088893893753	1.17552634810298	0.454032410611929	0.39450982165092	0.878869379804632	0.565193299803821	0.707926348624418	0.844272923354857	0.255327492179674	0.369037438470395	1.44474961504488	0.446252973803251	3.39254515219142	0.993030886136951
"chr7p21"	0.847224855935358	0.260784414343351	0.0952091186499184	0.215760467983499	1.71633775762328	0.266848481905301	0.548807761945753	1.85222773861437	0.785430537135855	0.585588906516875	0.795455406967454	0.351669845898449	0.729807874954968	0.542645341503357	17.2368880601877	0.9740481714924	0.734857190146963	0.98915178025459	0.0648559213907124	0.199915661612167	0.357645983986255	0.204109122300422	0.66400655731275	6.97403160210259	2.28077503421893	0.716521072335977	4.45869959516138	0.25726272603876	0.175086200668825	1.30942765208701	0.1394177844881	0.0651920929833654	2.39069987950393	0.208980939356037	1.6365234377669	0.125715475740916	0.260879232043744
"chr10q23"	4.48545332988259	0.463283276891591	0.269342286664197	3.58795378251185	0.710224942524376	3.81505741162159	0.901276402526292	1.09786685836517	0.965377137784727	0.383868335925085	0.707454029784913	2.10446852383967	0.745989607392648	0.383743496272243	4.09312314129522	0.531837620021516	2.69155261372024	0.501823515416517	0.172441836413478	0.218037954504867	0.310669175020898	0.312419096722574	0.256975654987501	0.347273672937904	3.39072141740183	0.243388170164518	0.53814022879095	0.886720731900588	8.19815178609204	0.641650796380193	0.538616792040062	0.164973412263018	3.51955828932539	0.476229575802119	0.666313303312898	0.324342185298144	1.17350466406742
"chr13q13"	0.610247442713899	0.866533482487801	0.292844490594297	0.398113770827791	2.92549012696093	0.546799322108014	1.15883264076015	0.251987840640396	0.177713322788145	5.10666043508103	0.558323513057089	0.260038980616615	6.68199874929534	0.815555623016906	0.474335198790964	0.778379721391771	0.271501681711981	1.24650062640177	0.301773121718755	0.684488482651417	0.438013112390943	0.161776691135189	0.566712276408869	2.3228527148658	0.23823576565342	0.504995827879739	2.22575513642393	0.409802140506466	0.280116985295967	0.230341646449262	5.7555706031956	0.284910279042534	0.4574168232924	1.43057706956944	1.83009137660072	0.291195010164916	0.617270508866341
"chr10q21"	0.390301189872208	11.7069281163629	0.56863521790118	0.286819853341046	0.628272754123912	0.644990769944731	0.680042592425806	0.414498332453857	3.42525917445938	1.82109036079295	0.334454717505267	0.310167487071546	0.626569756575605	1.52648138062793	0.815136189475539	1.63545165278839	0.360705995927266	3.10250867932815	0.648271546747868	1.08618652402767	0.390771637096662	4.78824886544997	0.924835702080348	0.657230336492265	0.720814411031617	0.28337227509208	0.186777303109134	0.278173848111598	0.188709503216072	1.59594108286705	0.862985525156986	0.414889669115003	0.231601874331064	0.403813263222876	0.588036241060118	0.422726003767622	1.67829574942315
"chr1p13"	0.385016913906796	6.24743961427175	2.3016911635399	0.294621127277719	2.83416002025031	0.894824609045529	0.67837684050415	2.12780021709215	1.27067340996161	4.95675466605867	0.42271932196161	0.512677700446359	2.08436442001878	1.0218164798117	5.80721415489996	2.40021823599177	0.691862033891848	2.97878897412256	1.51647710299206	0.658628559911156	0.335502804494067	0.651348660358441	1.48887748449881	0.514192550220169	3.04610523923906	0.407648152573869	4.46060447522206	2.1931658009808	0.31402349432329	2.5422320581042	1.1752388530236	0.473609461970707	0.80092533574673	3.10016162769858	0.259576862701851	1.41111524862485	1.37372913306108
"chrxp21"	0.0179122376193895	0.240274500061233	0.00830065583898232	0.21119164611568	0.0106416905119154	0.0208446739214239	0.00514313183417108	0.0113904418034361	0.2212360524349	0.000594027081321204	2.05922042943264	0.58920210587624	0.00973130323442971	0.00235739342414215	0.0889376732210817	0.0548808228727344	0.465562484986538	0.0105314760492962	0.00554221867327679	0.906205530022226	0.307442420276987	0.00737177285860916	0.0524961013292735	0.0045377078568009	0.0319181696556296	0.123003248775261	0.00189505190350321	0.225466924581936	0.0297890072948239	0.258003372323169	0.00782006969602697	0.00800095580351909	0.139403087860231	13.8541440577041	0.00325595596535	0.011844417987011	0.00182459244249187
